category,domain,canonical_id,label,score,detector_hash
bottle,dark,bottle/broken_large/000,1,0.50390625,5368ac52541f26ba477615354f5e08c9d153fa7b3faf938e8ef4afffb2d8f0b6
bottle,dark,bottle/broken_large/001,1,0.5220888257026672,5368ac52541f26ba477615354f5e08c9d153fa7b3faf938e8ef4afffb2d8f0b6
bottle,dark,bottle/broken_large/002,1,0.5441073179244995,5368ac52541f26ba477615354f5e08c9d153fa7b3faf938e8ef4afffb2d8f0b6
bottle,dark,bottle/broken_large/003,1,0.6033912897109985,5368ac52541f26ba477615354f5e08c9d153fa7b3faf938e8ef4afffb2d8f0b6
bottle,dark,bottle/broken_large/004,1,0.46321335434913635,5368ac52541f26ba477615354f5e08c9d153fa7b3faf938e8ef4afffb2d8f0b6
bottle,dark,bottle/broken_large/005,1,0.5189691185951233,5368ac52541f26ba477615354f5e08c9d153fa7b3faf938e8ef4afffb2d8f0b6
bottle,dark,bottle/broken_large/006,1,0.5521332025527954,5368ac52541f26ba477615354f5e08c9d153fa7b3faf938e8ef4afffb2d8f0b6
bottle,dark,bottle/broken_large/007,1,0.5229092240333557,5368ac52541f26ba477615354f5e08c9d153fa7b3faf938e8ef4afffb2d8f0b6
bottle,dark,bottle/broken_large/008,1,0.5317206382751465,5368ac52541f26ba477615354f5e08c9d153fa7b3faf938e8ef4afffb2d8f0b6
bottle,dark,bottle/broken_large/009,1,0.5291360020637512,5368ac52541f26ba477615354f5e08c9d153fa7b3faf938e8ef4afffb2d8f0b6
bottle,dark,bottle/broken_large/010,1,0.5883674025535583,5368ac52541f26ba477615354f5e08c9d153fa7b3faf938e8ef4afffb2d8f0b6
bottle,dark,bottle/broken_large/011,1,0.5321196913719177,5368ac52541f26ba477615354f5e08c9d153fa7b3faf938e8ef4afffb2d8f0b6
bottle,dark,bottle/broken_large/012,1,0.5379379391670227,5368ac52541f26ba477615354f5e08c9d153fa7b3faf938e8ef4afffb2d8f0b6
bottle,dark,bottle/broken_large/013,1,0.544484555721283,5368ac52541f26ba477615354f5e08c9d153fa7b3faf938e8ef4afffb2d8f0b6
